%time,field.header.seq,field.header.stamp,field.header.frame_id,field.data,field.variance
1648134043509151667,203,1562884225158543104,fcu,98589.99633789062,0.0
1648134043527659349,204,1562884225178543104,fcu,98589.99633789062,0.0
1648134043547344073,205,1562884225195543104,fcu,98589.99633789062,0.0
1648134043566892469,206,1562884225218543104,fcu,98589.99633789062,0.0
1648134043588008879,207,1562884225238644480,fcu,98589.99633789062,0.0
1648134043609899775,208,1562884225260644480,fcu,98550.0,0.0
1648134043629710193,209,1562884225281644480,fcu,98550.0,0.0
1648134043648221009,210,1562884225298644480,fcu,98550.0,0.0
1648134043670337718,211,1562884225321644480,fcu,98550.0,0.0
1648134043691328073,212,1562884225341778368,fcu,98589.99633789062,0.0
1648134043707224468,213,1562884225358778368,fcu,98589.99633789062,0.0
1648134043724730611,214,1562884225375778368,fcu,98589.99633789062,0.0
1648134043748664845,215,1562884225398778368,fcu,98589.99633789062,0.0
1648134043770215364,216,1562884225421778368,fcu,98589.99633789062,0.0
1648134043789978408,217,1562884225441878720,fcu,98589.99633789062,0.0
1648134043807267115,218,1562884225458878720,fcu,98589.99633789062,0.0
1648134043830774959,219,1562884225481878720,fcu,98589.99633789062,0.0
1648134043852835568,220,1562884225502878720,fcu,98589.99633789062,0.0
1648134043875369307,221,1562884225525778368,fcu,98589.99633789062,0.0
1648134043892762180,222,1562884225542778368,fcu,98629.99877929688,0.0
1648134043909758967,223,1562884225561778368,fcu,98629.99877929688,0.0
1648134043932237264,224,1562884225582778368,fcu,98629.99877929688,0.0
1648134043950641370,225,1562884225601778368,fcu,98629.99877929688,0.0
1648134043970860898,226,1562884225620778368,fcu,98629.99877929688,0.0
1648134043990448606,227,1562884225641657024,fcu,98589.99633789062,0.0
1648134044009965168,228,1562884225660657024,fcu,98589.99633789062,0.0
1648134044029986793,229,1562884225681657024,fcu,98589.99633789062,0.0
1648134044054687086,230,1562884225705657024,fcu,98589.99633789062,0.0
1648134044071138673,231,1562884225721657024,fcu,98589.99633789062,0.0
1648134044090638458,232,1562884225741384640,fcu,98559.99755859375,0.0
1648134044109891058,233,1562884225760384640,fcu,98559.99755859375,0.0
1648134044129524634,234,1562884225781384640,fcu,98559.99755859375,0.0
1648134044147013516,235,1562884225798384640,fcu,98559.99755859375,0.0
1648134044167926951,236,1562884225818384640,fcu,98559.99755859375,0.0
1648134044190288934,237,1562884225841300928,fcu,98589.99633789062,0.0
1648134044208048784,238,1562884225858300928,fcu,98589.99633789062,0.0
1648134044227762080,239,1562884225878300928,fcu,98589.99633789062,0.0
1648134044250963715,240,1562884225901300928,fcu,98589.99633789062,0.0
1648134044270637820,241,1562884225921300928,fcu,98589.99633789062,0.0
1648134044290714718,242,1562884225941264064,fcu,98639.99633789062,0.0
1648134044311091253,243,1562884225961264064,fcu,98639.99633789062,0.0
1648134044332488191,244,1562884225982264064,fcu,98639.99633789062,0.0
1648134044351492661,245,1562884226001264064,fcu,98639.99633789062,0.0
1648134044367218806,246,1562884226018264064,fcu,98639.99633789062,0.0
1648134044384718930,247,1562884226035383872,fcu,98639.99633789062,0.0
1648134044408297773,248,1562884226058383872,fcu,98539.99633789062,0.0
1648134044427645789,249,1562884226078383872,fcu,98539.99633789062,0.0
1648134044447027074,250,1562884226098383872,fcu,98539.99633789062,0.0
1648134044470430330,251,1562884226121383872,fcu,98539.99633789062,0.0
1648134044490630421,252,1562884226141554880,fcu,98579.99877929688,0.0
1648134044510493922,253,1562884226161554880,fcu,98579.99877929688,0.0
1648134044528314511,254,1562884226178554880,fcu,98579.99877929688,0.0
1648134044547675449,255,1562884226198554880,fcu,98579.99877929688,0.0
1648134044567911538,256,1562884226218554880,fcu,98579.99877929688,0.0
1648134044587191009,257,1562884226238631680,fcu,98579.99877929688,0.0
1648134044608426363,258,1562884226258631680,fcu,98559.99755859375,0.0
1648134044630928915,259,1562884226281631680,fcu,98559.99755859375,0.0
1648134044649983021,260,1562884226301631680,fcu,98559.99755859375,0.0
1648134044669977827,261,1562884226321631680,fcu,98559.99755859375,0.0
1648134044690884200,262,1562884226341766848,fcu,98619.9951171875,0.0
1648134044708564442,263,1562884226358766848,fcu,98619.9951171875,0.0
1648134044728132789,264,1562884226378766848,fcu,98619.9951171875,0.0
1648134044747636073,265,1562884226398766848,fcu,98619.9951171875,0.0
1648134044771149476,266,1562884226421766848,fcu,98619.9951171875,0.0
1648134044790897353,267,1562884226441610688,fcu,98600.0,0.0
1648134044804558999,268,1562884226455610688,fcu,98600.0,0.0
1648134044830429517,269,1562884226481610688,fcu,98600.0,0.0
1648134044847678415,270,1562884226498610688,fcu,98600.0,0.0
1648134044870708535,271,1562884226520610688,fcu,98600.0,0.0
1648134044891682403,272,1562884226541653952,fcu,98619.9951171875,0.0
1648134044907636169,273,1562884226558653952,fcu,98619.9951171875,0.0
1648134044927623354,274,1562884226578653952,fcu,98619.9951171875,0.0
1648134044947348287,275,1562884226598653952,fcu,98619.9951171875,0.0
1648134044970694998,276,1562884226621653952,fcu,98619.9951171875,0.0
1648134044990551578,277,1562884226641767360,fcu,98600.0,0.0
1648134045007821613,278,1562884226658767360,fcu,98600.0,0.0
1648134045030935067,279,1562884226681767360,fcu,98600.0,0.0
1648134045050727691,280,1562884226701767360,fcu,98600.0,0.0
1648134045070391614,281,1562884226721767360,fcu,98600.0,0.0
1648134045089997985,282,1562884226741869504,fcu,98569.9951171875,0.0
1648134045109642316,283,1562884226760869504,fcu,98569.9951171875,0.0
1648134045127191227,284,1562884226778869504,fcu,98569.9951171875,0.0
1648134045148076794,285,1562884226798869504,fcu,98569.9951171875,0.0
1648134045167566331,286,1562884226818869504,fcu,98569.9951171875,0.0
1648134045187321797,287,1562884226838656000,fcu,98569.9951171875,0.0
1648134045210805787,288,1562884226860656000,fcu,98600.0,0.0
1648134045230316515,289,1562884226880656000,fcu,98600.0,0.0
1648134045250416298,290,1562884226901656000,fcu,98600.0,0.0
1648134045267597293,291,1562884226918656000,fcu,98600.0,0.0
1648134045290750407,292,1562884226941212352,fcu,98609.99755859375,0.0
1648134045308305469,293,1562884226958212352,fcu,98609.99755859375,0.0
1648134045330011845,294,1562884226980212352,fcu,98609.99755859375,0.0
1648134045345351123,295,1562884226995212352,fcu,98609.99755859375,0.0
1648134045368494276,296,1562884227018212352,fcu,98609.99755859375,0.0
