rosbagTimestamp,header,seq,stamp,secs,nsecs,frame_id,fluid_pressure,variance
1646909098184112968,,4934,,1607382926,619003520,"""fcu""",103859.997559,0.0
1646909098216977781,,4935,,1607382926,650934400,"""fcu""",103859.997559,0.0
1646909098250428274,,4936,,1607382926,683934400,"""fcu""",106800.0,0.0
1646909098288582975,,4937,,1607382926,720934400,"""fcu""",106800.0,0.0
1646909098320511352,,4938,,1607382926,753281024,"""fcu""",106800.0,0.0
1646909098349603683,,4939,,1607382926,784281024,"""fcu""",109800.0,0.0
1646909098383440520,,4940,,1607382926,818281024,"""fcu""",109800.0,0.0
1646909098420944013,,4941,,1607382926,857147392,"""fcu""",109800.0,0.0
1646909098448700379,,4942,,1607382926,883147392,"""fcu""",111119.995117,0.0
1646909098483686813,,4943,,1607382926,916147392,"""fcu""",111119.995117,0.0
1646909098515495593,,4944,,1607382926,950981504,"""fcu""",111119.995117,0.0
1646909098548721663,,4945,,1607382926,980981504,"""fcu""",112059.997559,0.0
1646909098579614563,,4946,,1607382927,12981504,"""fcu""",112059.997559,0.0
1646909098616090799,,4947,,1607382927,50907264,"""fcu""",112059.997559,0.0
1646909098647267480,,4948,,1607382927,78907264,"""fcu""",112800.0,0.0
1646909098681546358,,4949,,1607382927,115907264,"""fcu""",112800.0,0.0
1646909098714250724,,4950,,1607382927,149024768,"""fcu""",112800.0,0.0
1646909098746122942,,4951,,1607382927,181024768,"""fcu""",113329.992676,0.0
1646909098780324078,,4952,,1607382927,214024768,"""fcu""",113329.992676,0.0
1646909098814034237,,4953,,1607382927,249072384,"""fcu""",113329.992676,0.0
1646909098845132049,,4954,,1607382927,279072384,"""fcu""",113709.997559,0.0
1646909098878532619,,4955,,1607382927,313072384,"""fcu""",113709.997559,0.0
1646909098909949352,,4956,,1607382927,344453056,"""fcu""",113709.997559,0.0
1646909098944854696,,4957,,1607382927,379453056,"""fcu""",114040.002441,0.0
1646909098979884723,,4958,,1607382927,413453056,"""fcu""",114040.002441,0.0
1646909099009306297,,4959,,1607382927,443144576,"""fcu""",114040.002441,0.0
1646909099042212166,,4960,,1607382927,477144576,"""fcu""",114200.0,0.0
1646909099079787797,,4961,,1607382927,513144576,"""fcu""",114200.0,0.0
1646909099109976040,,4962,,1607382927,544532672,"""fcu""",114200.0,0.0
1646909099145186873,,4963,,1607382927,577532672,"""fcu""",113869.995117,0.0
1646909099180366520,,4964,,1607382927,613532672,"""fcu""",113869.995117,0.0
1646909099210434155,,4965,,1607382927,643064192,"""fcu""",113869.995117,0.0
1646909099239700775,,4966,,1607382927,673064192,"""fcu""",113869.995117,0.0
1646909099274580903,,4967,,1607382927,709064192,"""fcu""",109729.992676,0.0
1646909099309407833,,4968,,1607382927,743291264,"""fcu""",109729.992676,0.0
1646909099342715214,,4969,,1607382927,777291264,"""fcu""",103529.992676,0.0
1646909099372011135,,4970,,1607382927,806291264,"""fcu""",103529.992676,0.0
1646909099408831269,,4971,,1607382927,840994304,"""fcu""",103529.992676,0.0
1646909099437084251,,4972,,1607382927,870994304,"""fcu""",103529.992676,0.0
1646909099472171455,,4973,,1607382927,905994304,"""fcu""",103450.0,0.0
1646909099509369896,,4974,,1607382927,944292544,"""fcu""",103450.0,0.0
1646909099537327732,,4975,,1607382927,971292544,"""fcu""",103450.0,0.0
1646909099568412800,,4976,,1607382928,3292544,"""fcu""",103509.997559,0.0
1646909099605360750,,4977,,1607382928,38961024,"""fcu""",103509.997559,0.0
1646909099637252886,,4978,,1607382928,70961024,"""fcu""",103509.997559,0.0
1646909099669202294,,4979,,1607382928,102961024,"""fcu""",103440.002441,0.0
1646909099704007422,,4980,,1607382928,139306880,"""fcu""",103440.002441,0.0
1646909099737396766,,4981,,1607382928,171306880,"""fcu""",103440.002441,0.0
1646909099772751631,,4982,,1607382928,206306880,"""fcu""",103459.997559,0.0
1646909099803493211,,4983,,1607382928,237439744,"""fcu""",103459.997559,0.0
1646909099836060777,,4984,,1607382928,271439744,"""fcu""",103459.997559,0.0
1646909099869252705,,4985,,1607382928,303439744,"""fcu""",103479.992676,0.0
1646909099898838519,,4986,,1607382928,333223936,"""fcu""",103479.992676,0.0
1646909099933698812,,4987,,1607382928,369223936,"""fcu""",103479.992676,0.0
1646909099967180854,,4988,,1607382928,401223936,"""fcu""",103440.002441,0.0
1646909099999864112,,4989,,1607382928,434399808,"""fcu""",103440.002441,0.0
1646909100033402954,,4990,,1607382928,469399808,"""fcu""",103440.002441,0.0
1646909100067094655,,4991,,1607382928,501399808,"""fcu""",103469.995117,0.0
1646909100099815575,,4992,,1607382928,534516544,"""fcu""",103469.995117,0.0
1646909100133365230,,4993,,1607382928,567516544,"""fcu""",103469.995117,0.0
1646909100167188234,,4994,,1607382928,601516544,"""fcu""",103479.992676,0.0
1646909100197391336,,4995,,1607382928,631445888,"""fcu""",103479.992676,0.0
1646909100229498510,,4996,,1607382928,663445888,"""fcu""",103479.992676,0.0
1646909100266783519,,4997,,1607382928,701445888,"""fcu""",103459.997559,0.0
1646909100298004241,,4998,,1607382928,731605888,"""fcu""",103459.997559,0.0
1646909100333389595,,4999,,1607382928,769605888,"""fcu""",103459.997559,0.0
1646909100362443529,,5000,,1607382928,797605888,"""fcu""",103490.002441,0.0
